sleep_hours,distance,date,user_type
8.40,6.83,4/12/2016,Intermediate Level
8.57,6.83,4/12/2016,Intermediate Level
8.85,6.83,4/12/2016,Intermediate Level
9.28,6.83,4/12/2016,Intermediate Level
10.03,6.83,4/12/2016,Intermediate Level
5.08,5.98,4/12/2016,Intermediate Level
5.60,5.98,4/12/2016,Intermediate Level
6.18,5.98,4/12/2016,Intermediate Level
6.20,5.98,4/12/2016,Intermediate Level
6.37,5.98,4/12/2016,Intermediate Level
6.40,5.98,4/12/2016,Intermediate Level
6.58,5.98,4/12/2016,Intermediate Level
6.62,5.98,4/12/2016,Intermediate Level
7.05,5.98,4/12/2016,Intermediate Level
7.38,5.98,4/12/2016,Intermediate Level
7.53,5.98,4/12/2016,Intermediate Level
7.60,5.98,4/12/2016,Intermediate Level
7.78,5.98,4/12/2016,Intermediate Level
7.82,5.98,4/12/2016,Intermediate Level
7.93,5.98,4/12/2016,Intermediate Level
7.97,5.98,4/12/2016,Intermediate Level
8.00,5.98,4/12/2016,Intermediate Level
8.33,5.98,4/12/2016,Intermediate Level
8.50,5.98,4/12/2016,Intermediate Level
8.53,5.98,4/12/2016,Intermediate Level
8.70,5.98,4/12/2016,Intermediate Level
8.77,5.98,4/12/2016,Intermediate Level
9.00,5.98,4/12/2016,Intermediate Level
9.27,5.98,4/12/2016,Intermediate Level
9.43,5.98,4/12/2016,Intermediate Level
10.43,5.98,4/12/2016,Intermediate Level
1.28,6.12,4/12/2016,Intermediate Level
4.13,6.12,4/12/2016,Intermediate Level
5.53,6.12,4/12/2016,Intermediate Level
6.70,6.12,4/12/2016,Intermediate Level
6.80,6.12,4/12/2016,Intermediate Level
8.23,6.12,4/12/2016,Intermediate Level
8.93,6.12,4/12/2016,Intermediate Level
9.02,6.12,4/12/2016,Intermediate Level
1.08,5.20,4/12/2016,Intermediate Level
5.12,5.20,4/12/2016,Intermediate Level
5.35,5.20,4/12/2016,Intermediate Level
8.18,5.20,4/12/2016,Intermediate Level
8.30,5.20,4/12/2016,Intermediate Level
8.33,5.20,4/12/2016,Intermediate Level
8.35,5.20,4/12/2016,Intermediate Level
8.43,5.20,4/12/2016,Intermediate Level
8.53,5.20,4/12/2016,Intermediate Level
8.60,5.20,4/12/2016,Intermediate Level
8.62,5.20,4/12/2016,Intermediate Level
8.70,5.20,4/12/2016,Intermediate Level
8.83,5.20,4/12/2016,Intermediate Level
9.05,5.20,4/12/2016,Intermediate Level
9.10,5.20,4/12/2016,Intermediate Level
9.17,5.20,4/12/2016,Intermediate Level
9.18,5.20,4/12/2016,Intermediate Level
9.28,5.20,4/12/2016,Intermediate Level
9.30,5.20,4/12/2016,Intermediate Level
9.42,5.20,4/12/2016,Intermediate Level
10.63,5.20,4/12/2016,Intermediate Level
12.03,5.20,4/12/2016,Intermediate Level
1.08,7.78,4/12/2016,Intermediate Level
1.42,7.78,4/12/2016,Intermediate Level
1.73,7.78,4/12/2016,Intermediate Level
5.63,7.78,4/12/2016,Intermediate Level
5.77,7.78,4/12/2016,Intermediate Level
6.25,7.78,4/12/2016,Intermediate Level
6.27,7.78,4/12/2016,Intermediate Level
6.90,7.78,4/12/2016,Intermediate Level
7.17,7.78,4/12/2016,Intermediate Level
7.47,7.78,4/12/2016,Intermediate Level
7.52,7.78,4/12/2016,Intermediate Level
7.63,7.78,4/12/2016,Intermediate Level
8.23,7.78,4/12/2016,Intermediate Level
8.25,7.78,4/12/2016,Intermediate Level
8.27,7.78,4/12/2016,Intermediate Level
8.33,7.78,4/12/2016,Intermediate Level
8.35,7.78,4/12/2016,Intermediate Level
8.77,7.78,4/12/2016,Intermediate Level
9.02,7.78,4/12/2016,Intermediate Level
9.92,7.78,4/12/2016,Intermediate Level
9.95,7.78,4/12/2016,Intermediate Level
10.68,7.78,4/12/2016,Intermediate Level
1.78,2.20,4/12/2016,Beginner Level
1.80,2.20,4/12/2016,Beginner Level
5.75,2.20,4/12/2016,Beginner Level
5.88,2.20,4/12/2016,Beginner Level
6.05,2.20,4/12/2016,Beginner Level
6.23,2.20,4/12/2016,Beginner Level
6.32,2.20,4/12/2016,Beginner Level
6.52,2.20,4/12/2016,Beginner Level
6.70,2.20,4/12/2016,Beginner Level
6.77,2.20,4/12/2016,Beginner Level
6.95,2.20,4/12/2016,Beginner Level
7.07,2.20,4/12/2016,Beginner Level
7.10,2.20,4/12/2016,Beginner Level
7.27,2.20,4/12/2016,Beginner Level
7.37,2.20,4/12/2016,Beginner Level
7.50,2.20,4/12/2016,Beginner Level
7.62,2.20,4/12/2016,Beginner Level
7.65,2.20,4/12/2016,Beginner Level
7.70,2.20,4/12/2016,Beginner Level
7.82,2.20,4/12/2016,Beginner Level
8.20,2.20,4/12/2016,Beginner Level
8.32,2.20,4/12/2016,Beginner Level
8.35,2.20,4/12/2016,Beginner Level
8.55,2.20,4/12/2016,Beginner Level
8.83,2.20,4/12/2016,Beginner Level
8.88,2.20,4/12/2016,Beginner Level
9.03,2.20,4/12/2016,Beginner Level
2.02,3.39,4/12/2016,Beginner Level
2.15,3.39,4/12/2016,Beginner Level
2.23,3.39,4/12/2016,Beginner Level
2.28,3.39,4/12/2016,Beginner Level
2.98,3.39,4/12/2016,Beginner Level
4.28,5.88,4/12/2016,Intermediate Level
5.20,5.88,4/12/2016,Intermediate Level
6.10,5.88,4/12/2016,Intermediate Level
6.22,5.88,4/12/2016,Intermediate Level
6.33,5.88,4/12/2016,Intermediate Level
6.77,5.88,4/12/2016,Intermediate Level
6.92,5.88,4/12/2016,Intermediate Level
7.13,5.88,4/12/2016,Intermediate Level
7.15,5.88,4/12/2016,Intermediate Level
7.17,5.88,4/12/2016,Intermediate Level
7.18,5.88,4/12/2016,Intermediate Level
7.23,5.88,4/12/2016,Intermediate Level
7.32,5.88,4/12/2016,Intermediate Level
7.37,5.88,4/12/2016,Intermediate Level
7.45,5.88,4/12/2016,Intermediate Level
7.48,5.88,4/12/2016,Intermediate Level
7.63,5.88,4/12/2016,Intermediate Level
7.68,5.88,4/12/2016,Intermediate Level
7.80,5.88,4/12/2016,Intermediate Level
7.92,5.88,4/12/2016,Intermediate Level
8.12,5.88,4/12/2016,Intermediate Level
8.35,5.88,4/12/2016,Intermediate Level
8.43,5.88,4/12/2016,Intermediate Level
9.05,5.88,4/12/2016,Intermediate Level
10.20,5.88,4/12/2016,Intermediate Level
5.88,7.57,4/12/2016,Intermediate Level
6.52,7.57,4/12/2016,Intermediate Level
6.70,7.57,4/12/2016,Intermediate Level
6.82,7.57,4/12/2016,Intermediate Level
6.83,7.57,4/12/2016,Intermediate Level
6.97,7.57,4/12/2016,Intermediate Level
7.15,7.57,4/12/2016,Intermediate Level
7.18,7.57,4/12/2016,Intermediate Level
7.23,7.57,4/12/2016,Intermediate Level
7.38,7.57,4/12/2016,Intermediate Level
7.55,7.57,4/12/2016,Intermediate Level
7.62,7.57,4/12/2016,Intermediate Level
7.73,7.57,4/12/2016,Intermediate Level
7.80,7.57,4/12/2016,Intermediate Level
7.83,7.57,4/12/2016,Intermediate Level
7.85,7.57,4/12/2016,Intermediate Level
7.92,7.57,4/12/2016,Intermediate Level
8.10,7.57,4/12/2016,Intermediate Level
8.13,7.57,4/12/2016,Intermediate Level
8.23,7.57,4/12/2016,Intermediate Level
8.25,7.57,4/12/2016,Intermediate Level
9.02,7.57,4/12/2016,Intermediate Level
10.13,7.57,4/12/2016,Intermediate Level
10.67,7.57,4/12/2016,Intermediate Level
11.30,7.57,4/12/2016,Intermediate Level
11.43,7.57,4/12/2016,Intermediate Level
12.08,7.57,4/12/2016,Intermediate Level
14.05,7.57,4/12/2016,Intermediate Level
1.30,6.08,4/12/2016,Intermediate Level
6.10,6.08,4/12/2016,Intermediate Level
6.20,6.08,4/12/2016,Intermediate Level
6.28,6.08,4/12/2016,Intermediate Level
6.63,6.08,4/12/2016,Intermediate Level
6.70,6.08,4/12/2016,Intermediate Level
6.88,6.08,4/12/2016,Intermediate Level
7.22,6.08,4/12/2016,Intermediate Level
7.28,6.08,4/12/2016,Intermediate Level
7.30,6.08,4/12/2016,Intermediate Level
7.42,6.08,4/12/2016,Intermediate Level
7.53,6.08,4/12/2016,Intermediate Level
7.63,6.08,4/12/2016,Intermediate Level
7.68,6.08,4/12/2016,Intermediate Level
7.75,6.08,4/12/2016,Intermediate Level
7.93,6.08,4/12/2016,Intermediate Level
8.00,6.08,4/12/2016,Intermediate Level
8.08,6.08,4/12/2016,Intermediate Level
8.28,6.08,4/12/2016,Intermediate Level
9.05,6.08,4/12/2016,Intermediate Level
9.22,6.08,4/12/2016,Intermediate Level
9.37,6.08,4/12/2016,Intermediate Level
9.72,6.08,4/12/2016,Intermediate Level
10.25,6.08,4/12/2016,Intermediate Level
10.57,6.08,4/12/2016,Intermediate Level
5.83,0.00,4/12/2016,Beginner Level
6.12,0.00,4/12/2016,Beginner Level
6.63,0.00,4/12/2016,Beginner Level
6.92,0.00,4/12/2016,Beginner Level
6.93,0.00,4/12/2016,Beginner Level
8.20,0.00,4/12/2016,Beginner Level
8.37,0.00,4/12/2016,Beginner Level
8.45,0.00,4/12/2016,Beginner Level
8.50,0.00,4/12/2016,Beginner Level
8.70,0.00,4/12/2016,Beginner Level
8.98,0.00,4/12/2016,Beginner Level
9.10,0.00,4/12/2016,Beginner Level
9.17,0.00,4/12/2016,Beginner Level
9.28,0.00,4/12/2016,Beginner Level
9.58,0.00,4/12/2016,Beginner Level
10.05,0.00,4/12/2016,Beginner Level
10.60,0.00,4/12/2016,Beginner Level
11.63,0.00,4/12/2016,Beginner Level
4.33,0.00,4/12/2016,Beginner Level
6.77,0.00,4/12/2016,Beginner Level
7.35,0.00,4/12/2016,Beginner Level
5.57,6.74,4/12/2016,Intermediate Level
6.10,6.74,4/12/2016,Intermediate Level
6.43,6.74,4/12/2016,Intermediate Level
6.45,6.74,4/12/2016,Intermediate Level
6.92,6.74,4/12/2016,Intermediate Level
6.97,6.74,4/12/2016,Intermediate Level
7.07,6.74,4/12/2016,Intermediate Level
7.10,6.74,4/12/2016,Intermediate Level
7.25,6.74,4/12/2016,Intermediate Level
7.43,6.74,4/12/2016,Intermediate Level
7.45,6.74,4/12/2016,Intermediate Level
7.55,6.74,4/12/2016,Intermediate Level
7.58,6.74,4/12/2016,Intermediate Level
7.62,6.74,4/12/2016,Intermediate Level
7.63,6.74,4/12/2016,Intermediate Level
7.70,6.74,4/12/2016,Intermediate Level
7.78,6.74,4/12/2016,Intermediate Level
8.00,6.74,4/12/2016,Intermediate Level
8.02,6.74,4/12/2016,Intermediate Level
8.03,6.74,4/12/2016,Intermediate Level
8.18,6.74,4/12/2016,Intermediate Level
8.28,6.74,4/12/2016,Intermediate Level
8.57,6.74,4/12/2016,Intermediate Level
8.92,6.74,4/12/2016,Intermediate Level
9.10,6.74,4/12/2016,Intermediate Level
9.48,6.74,4/12/2016,Intermediate Level
11.32,6.74,4/12/2016,Intermediate Level
1.02,10.29,4/12/2016,Pro level
1.37,10.29,4/12/2016,Pro level
5.55,8.41,4/12/2016,Pro level
6.12,8.41,4/12/2016,Pro level
6.43,8.41,4/12/2016,Pro level
6.78,8.41,4/12/2016,Pro level
6.85,8.41,4/12/2016,Pro level
7.27,8.41,4/12/2016,Pro level
7.30,8.41,4/12/2016,Pro level
7.45,8.41,4/12/2016,Pro level
7.47,8.41,4/12/2016,Pro level
7.62,8.41,4/12/2016,Pro level
7.65,8.41,4/12/2016,Pro level
7.68,8.41,4/12/2016,Pro level
7.72,8.41,4/12/2016,Pro level
7.75,8.41,4/12/2016,Pro level
7.93,8.41,4/12/2016,Pro level
7.98,8.41,4/12/2016,Pro level
8.05,8.41,4/12/2016,Pro level
8.15,8.41,4/12/2016,Pro level
8.33,8.41,4/12/2016,Pro level
8.37,8.41,4/12/2016,Pro level
8.50,8.41,4/12/2016,Pro level
8.75,8.41,4/12/2016,Pro level
9.13,8.41,4/12/2016,Pro level
11.73,8.41,4/12/2016,Pro level
1.25,14.12,4/12/2016,Pro level
5.62,14.12,4/12/2016,Pro level
8.22,14.12,4/12/2016,Pro level
5.92,6.05,4/12/2016,Intermediate Level
5.93,6.05,4/12/2016,Intermediate Level
6.42,6.05,4/12/2016,Intermediate Level
6.45,6.05,4/12/2016,Intermediate Level
6.52,6.05,4/12/2016,Intermediate Level
6.65,6.05,4/12/2016,Intermediate Level
6.70,6.05,4/12/2016,Intermediate Level
6.82,6.05,4/12/2016,Intermediate Level
6.95,6.05,4/12/2016,Intermediate Level
7.02,6.05,4/12/2016,Intermediate Level
7.15,6.05,4/12/2016,Intermediate Level
7.52,6.05,4/12/2016,Intermediate Level
7.58,6.05,4/12/2016,Intermediate Level
7.82,6.05,4/12/2016,Intermediate Level
7.95,6.05,4/12/2016,Intermediate Level
8.12,6.05,4/12/2016,Intermediate Level
8.20,6.05,4/12/2016,Intermediate Level
8.55,6.05,4/12/2016,Intermediate Level
8.88,6.05,4/12/2016,Intermediate Level
8.98,6.05,4/12/2016,Intermediate Level
9.10,6.05,4/12/2016,Intermediate Level
9.25,6.05,4/12/2016,Intermediate Level
9.27,6.05,4/12/2016,Intermediate Level
9.37,6.05,4/12/2016,Intermediate Level
9.73,6.05,4/12/2016,Intermediate Level
9.85,6.05,4/12/2016,Intermediate Level
10.00,6.05,4/12/2016,Intermediate Level
10.10,6.05,4/12/2016,Intermediate Level
11.48,6.05,4/12/2016,Intermediate Level
6.00,1.64,4/12/2016,Beginner Level
6.28,1.64,4/12/2016,Beginner Level
6.77,1.64,4/12/2016,Beginner Level
6.78,1.64,4/12/2016,Beginner Level
6.93,1.64,4/12/2016,Beginner Level
7.05,1.64,4/12/2016,Beginner Level
7.13,1.64,4/12/2016,Beginner Level
7.72,1.64,4/12/2016,Beginner Level
8.22,1.64,4/12/2016,Beginner Level
8.38,1.64,4/12/2016,Beginner Level
8.78,1.64,4/12/2016,Beginner Level
9.08,1.64,4/12/2016,Beginner Level
9.12,1.64,4/12/2016,Beginner Level
9.20,1.64,4/12/2016,Beginner Level
4.40,6.97,4/13/2016,Intermediate Level
4.57,6.97,4/13/2016,Intermediate Level
4.93,6.97,4/13/2016,Intermediate Level
5.10,6.97,4/13/2016,Intermediate Level
5.15,6.97,4/13/2016,Intermediate Level
5.33,6.97,4/13/2016,Intermediate Level
5.38,6.97,4/13/2016,Intermediate Level
5.70,6.97,4/13/2016,Intermediate Level
5.77,6.97,4/13/2016,Intermediate Level
5.82,6.97,4/13/2016,Intermediate Level
5.90,6.97,4/13/2016,Intermediate Level
6.07,6.97,4/13/2016,Intermediate Level
6.12,6.97,4/13/2016,Intermediate Level
6.28,6.97,4/13/2016,Intermediate Level
6.40,6.97,4/13/2016,Intermediate Level
6.55,6.97,4/13/2016,Intermediate Level
6.60,6.97,4/13/2016,Intermediate Level
6.72,6.97,4/13/2016,Intermediate Level
6.78,6.97,4/13/2016,Intermediate Level
7.08,6.97,4/13/2016,Intermediate Level
7.37,6.97,4/13/2016,Intermediate Level
7.48,6.97,4/13/2016,Intermediate Level
10.18,6.97,4/13/2016,Intermediate Level
11.87,6.97,4/13/2016,Intermediate Level
2.12,5.82,4/13/2016,Intermediate Level
2.37,5.82,4/13/2016,Intermediate Level
2.57,5.82,4/13/2016,Intermediate Level
16.02,5.82,4/13/2016,Intermediate Level
16.02,3.26,4/13/2016,Beginner Level
2.97,0.25,4/13/2016,Beginner Level
5.25,0.25,4/13/2016,Beginner Level
7.03,0.25,4/13/2016,Beginner Level
8.32,0.25,4/13/2016,Beginner Level
12.92,0.25,4/13/2016,Beginner Level
6.33,3.10,4/13/2016,Beginner Level
8.08,3.10,4/13/2016,Beginner Level
8.30,3.10,4/13/2016,Beginner Level
8.50,3.10,4/13/2016,Beginner Level
8.57,3.10,4/13/2016,Beginner Level
8.68,3.10,4/13/2016,Beginner Level
8.85,3.10,4/13/2016,Beginner Level
9.00,3.10,4/13/2016,Beginner Level
9.05,3.10,4/13/2016,Beginner Level
9.08,3.10,4/13/2016,Beginner Level
9.10,3.10,4/13/2016,Beginner Level
9.13,3.10,4/13/2016,Beginner Level
9.22,3.10,4/13/2016,Beginner Level
9.23,3.10,4/13/2016,Beginner Level
9.27,3.10,4/13/2016,Beginner Level
9.33,3.10,4/13/2016,Beginner Level
9.42,3.10,4/13/2016,Beginner Level
9.45,3.10,4/13/2016,Beginner Level
9.47,3.10,4/13/2016,Beginner Level
9.55,3.10,4/13/2016,Beginner Level
9.85,3.10,4/13/2016,Beginner Level
10.12,3.10,4/13/2016,Beginner Level
1.15,4.90,4/13/2016,Beginner Level
6.43,7.01,4/13/2016,Intermediate Level
7.50,7.01,4/13/2016,Intermediate Level
7.65,7.01,4/13/2016,Intermediate Level
7.68,7.01,4/13/2016,Intermediate Level
7.85,7.01,4/13/2016,Intermediate Level
7.88,7.01,4/13/2016,Intermediate Level
8.07,7.01,4/13/2016,Intermediate Level
8.15,7.01,4/13/2016,Intermediate Level
8.17,7.01,4/13/2016,Intermediate Level
8.32,7.01,4/13/2016,Intermediate Level
8.40,7.01,4/13/2016,Intermediate Level
8.57,7.01,4/13/2016,Intermediate Level
8.85,7.01,4/13/2016,Intermediate Level
9.28,7.01,4/13/2016,Intermediate Level
10.03,7.01,4/13/2016,Intermediate Level
5.08,6.71,4/13/2016,Intermediate Level
5.60,6.71,4/13/2016,Intermediate Level
6.18,6.71,4/13/2016,Intermediate Level
6.20,6.71,4/13/2016,Intermediate Level
6.37,6.71,4/13/2016,Intermediate Level
6.40,6.71,4/13/2016,Intermediate Level
6.58,6.71,4/13/2016,Intermediate Level
6.62,6.71,4/13/2016,Intermediate Level
7.05,6.71,4/13/2016,Intermediate Level
7.38,6.71,4/13/2016,Intermediate Level
7.53,6.71,4/13/2016,Intermediate Level
7.60,6.71,4/13/2016,Intermediate Level
7.78,6.71,4/13/2016,Intermediate Level
7.82,6.71,4/13/2016,Intermediate Level
7.93,6.71,4/13/2016,Intermediate Level
7.97,6.71,4/13/2016,Intermediate Level
8.00,6.71,4/13/2016,Intermediate Level
8.33,6.71,4/13/2016,Intermediate Level
8.50,6.71,4/13/2016,Intermediate Level
8.53,6.71,4/13/2016,Intermediate Level
8.70,6.71,4/13/2016,Intermediate Level
8.77,6.71,4/13/2016,Intermediate Level
9.00,6.71,4/13/2016,Intermediate Level
9.27,6.71,4/13/2016,Intermediate Level
9.43,6.71,4/13/2016,Intermediate Level
10.43,6.71,4/13/2016,Intermediate Level
1.28,0.00,4/13/2016,Beginner Level
4.13,0.00,4/13/2016,Beginner Level
5.53,0.00,4/13/2016,Beginner Level
6.70,0.00,4/13/2016,Beginner Level
6.80,0.00,4/13/2016,Beginner Level
8.23,0.00,4/13/2016,Beginner Level
8.93,0.00,4/13/2016,Beginner Level
9.02,0.00,4/13/2016,Beginner Level
1.08,5.50,4/13/2016,Intermediate Level
5.12,5.50,4/13/2016,Intermediate Level
5.35,5.50,4/13/2016,Intermediate Level
8.18,5.50,4/13/2016,Intermediate Level
8.30,5.50,4/13/2016,Intermediate Level
8.33,5.50,4/13/2016,Intermediate Level
8.35,5.50,4/13/2016,Intermediate Level
8.43,5.50,4/13/2016,Intermediate Level
8.53,5.50,4/13/2016,Intermediate Level
8.60,5.50,4/13/2016,Intermediate Level
8.62,5.50,4/13/2016,Intermediate Level
8.70,5.50,4/13/2016,Intermediate Level
8.83,5.50,4/13/2016,Intermediate Level
9.05,5.50,4/13/2016,Intermediate Level
9.10,5.50,4/13/2016,Intermediate Level
9.17,5.50,4/13/2016,Intermediate Level
9.18,5.50,4/13/2016,Intermediate Level
9.28,5.50,4/13/2016,Intermediate Level
9.30,5.50,4/13/2016,Intermediate Level
9.42,5.50,4/13/2016,Intermediate Level
10.63,5.50,4/13/2016,Intermediate Level
12.03,5.50,4/13/2016,Intermediate Level
1.08,8.45,4/13/2016,Pro level
1.42,8.45,4/13/2016,Pro level
1.73,8.45,4/13/2016,Pro level
5.63,8.45,4/13/2016,Pro level
5.77,8.45,4/13/2016,Pro level
6.25,8.45,4/13/2016,Pro level
6.27,8.45,4/13/2016,Pro level
6.90,8.45,4/13/2016,Pro level
7.17,8.45,4/13/2016,Pro level
7.47,8.45,4/13/2016,Pro level
7.52,8.45,4/13/2016,Pro level
7.63,8.45,4/13/2016,Pro level
8.23,8.45,4/13/2016,Pro level
8.25,8.45,4/13/2016,Pro level
8.27,8.45,4/13/2016,Pro level
8.33,8.45,4/13/2016,Pro level
8.35,8.45,4/13/2016,Pro level
8.77,8.45,4/13/2016,Pro level
9.02,8.45,4/13/2016,Pro level
9.92,8.45,4/13/2016,Pro level
9.95,8.45,4/13/2016,Pro level
10.68,8.45,4/13/2016,Pro level
1.78,1.99,4/13/2016,Beginner Level
1.80,1.99,4/13/2016,Beginner Level
5.75,1.99,4/13/2016,Beginner Level
5.88,1.99,4/13/2016,Beginner Level
6.05,1.99,4/13/2016,Beginner Level
6.23,1.99,4/13/2016,Beginner Level
6.32,1.99,4/13/2016,Beginner Level
6.52,1.99,4/13/2016,Beginner Level
6.70,1.99,4/13/2016,Beginner Level
6.77,1.99,4/13/2016,Beginner Level
6.95,1.99,4/13/2016,Beginner Level
7.07,1.99,4/13/2016,Beginner Level
7.10,1.99,4/13/2016,Beginner Level
7.27,1.99,4/13/2016,Beginner Level
7.37,1.99,4/13/2016,Beginner Level
7.50,1.99,4/13/2016,Beginner Level
7.62,1.99,4/13/2016,Beginner Level
7.65,1.99,4/13/2016,Beginner Level
7.70,1.99,4/13/2016,Beginner Level
7.82,1.99,4/13/2016,Beginner Level
8.20,1.99,4/13/2016,Beginner Level
8.32,1.99,4/13/2016,Beginner Level
8.35,1.99,4/13/2016,Beginner Level
8.55,1.99,4/13/2016,Beginner Level
8.83,1.99,4/13/2016,Beginner Level
8.88,1.99,4/13/2016,Beginner Level
9.03,1.99,4/13/2016,Beginner Level
2.02,3.29,4/13/2016,Beginner Level
2.15,3.29,4/13/2016,Beginner Level
2.23,3.29,4/13/2016,Beginner Level
2.28,3.29,4/13/2016,Beginner Level
2.98,3.29,4/13/2016,Beginner Level
4.28,5.58,4/13/2016,Intermediate Level
5.20,5.58,4/13/2016,Intermediate Level
6.10,5.58,4/13/2016,Intermediate Level
6.22,5.58,4/13/2016,Intermediate Level
6.33,5.58,4/13/2016,Intermediate Level
6.77,5.58,4/13/2016,Intermediate Level
6.92,5.58,4/13/2016,Intermediate Level
7.13,5.58,4/13/2016,Intermediate Level
7.15,5.58,4/13/2016,Intermediate Level
7.17,5.58,4/13/2016,Intermediate Level
7.18,5.58,4/13/2016,Intermediate Level
7.23,5.58,4/13/2016,Intermediate Level
7.32,5.58,4/13/2016,Intermediate Level
7.37,5.58,4/13/2016,Intermediate Level
7.45,5.58,4/13/2016,Intermediate Level
7.48,5.58,4/13/2016,Intermediate Level
7.63,5.58,4/13/2016,Intermediate Level
7.68,5.58,4/13/2016,Intermediate Level
7.80,5.58,4/13/2016,Intermediate Level
7.92,5.58,4/13/2016,Intermediate Level
8.12,5.58,4/13/2016,Intermediate Level
8.35,5.58,4/13/2016,Intermediate Level
8.43,5.58,4/13/2016,Intermediate Level
9.05,5.58,4/13/2016,Intermediate Level
10.20,5.58,4/13/2016,Intermediate Level
5.88,3.16,4/13/2016,Beginner Level
6.52,3.16,4/13/2016,Beginner Level
6.70,3.16,4/13/2016,Beginner Level
6.82,3.16,4/13/2016,Beginner Level
6.83,3.16,4/13/2016,Beginner Level
6.97,3.16,4/13/2016,Beginner Level
7.15,3.16,4/13/2016,Beginner Level
7.18,3.16,4/13/2016,Beginner Level
7.23,3.16,4/13/2016,Beginner Level
7.38,3.16,4/13/2016,Beginner Level
7.55,3.16,4/13/2016,Beginner Level
7.62,3.16,4/13/2016,Beginner Level
7.73,3.16,4/13/2016,Beginner Level
7.80,3.16,4/13/2016,Beginner Level
7.83,3.16,4/13/2016,Beginner Level
7.85,3.16,4/13/2016,Beginner Level
7.92,3.16,4/13/2016,Beginner Level
8.10,3.16,4/13/2016,Beginner Level
8.13,3.16,4/13/2016,Beginner Level
8.23,3.16,4/13/2016,Beginner Level
8.25,3.16,4/13/2016,Beginner Level
9.02,3.16,4/13/2016,Beginner Level
10.13,3.16,4/13/2016,Beginner Level
10.67,3.16,4/13/2016,Beginner Level
11.30,3.16,4/13/2016,Beginner Level
11.43,3.16,4/13/2016,Beginner Level
12.08,3.16,4/13/2016,Beginner Level
14.05,3.16,4/13/2016,Beginner Level
1.30,3.79,4/13/2016,Beginner Level
6.10,3.79,4/13/2016,Beginner Level
6.20,3.79,4/13/2016,Beginner Level
6.28,3.79,4/13/2016,Beginner Level
6.63,3.79,4/13/2016,Beginner Level
6.70,3.79,4/13/2016,Beginner Level
6.88,3.79,4/13/2016,Beginner Level
7.22,3.79,4/13/2016,Beginner Level
7.28,3.79,4/13/2016,Beginner Level
7.30,3.79,4/13/2016,Beginner Level
