sedentary_minutes,lightly_minutes,fairly_active_minutes,very_active_minutes,calories,user_type
800,264,0,0,2175,Beginner Level
548,142,24,8,1718,Beginner Level
1051,389,0,0,1956,Intermediate Level
984,306,18,18,3290,Pro level
1188,206,44,2,2889,Intermediate Level
718,263,0,0,2947,Intermediate Level
888,429,29,94,4547,Pro level
798,277,15,41,2004,Pro level
1061,298,13,68,3793,Pro level
1302,92,13,33,2484,Beginner Level
823,200,30,62,3329,Intermediate Level
746,253,12,0,2990,Intermediate Level
890,107,0,0,1002,Beginner Level
1440,0,0,0,2060,Beginner Level
380,58,0,0,1212,Beginner Level
1122,273,25,20,2094,Intermediate Level
921,513,6,0,2865,Pro level
1133,224,25,58,2544,Pro level
773,190,16,63,3294,Intermediate Level
797,170,95,7,1551,Intermediate Level
1203,190,1,46,1898,Beginner Level
1036,271,28,105,4142,Pro level
1190,250,0,0,2810,Beginner Level
741,240,0,0,2246,Beginner Level
343,58,4,5,1199,Beginner Level
1100,292,5,43,2601,Pro level
717,299,0,0,1850,Beginner Level
787,189,32,35,2734,Intermediate Level
1049,327,34,30,2763,Pro level
1002,17,0,0,1141,Beginner Level
551,49,5,2,1032,Beginner Level
680,178,88,14,1618,Pro level
1389,51,0,0,1886,Beginner Level
1259,135,16,30,2902,Intermediate Level
1410,19,8,3,1799,Beginner Level
665,229,0,0,1491,Beginner Level
902,96,0,0,1494,Beginner Level
1037,376,9,18,2124,Intermediate Level
425,480,0,0,2606,Pro level
1440,0,0,0,1981,Beginner Level
1182,185,5,68,2846,Pro level
1271,121,33,15,2806,Intermediate Level
706,181,8,3,1459,Beginner Level
1157,227,14,42,2390,Pro level
1440,0,0,0,2439,Beginner Level
842,172,0,0,1237,Beginner Level
757,128,40,57,2735,Intermediate Level
941,51,0,0,2221,Beginner Level
950,174,0,0,2828,Beginner Level
1024,416,0,0,2010,Beginner Level
701,262,37,1,3172,Pro level
855,177,0,0,2704,Beginner Level
733,111,23,108,3501,Pro level
1276,127,22,15,1554,Beginner Level
815,243,12,16,1837,Intermediate Level
1007,401,16,16,2836,Pro level
1125,252,58,5,3226,Pro level
1229,129,5,77,3142,Pro level
1286,104,5,45,2008,Pro level
762,236,0,0,2203,Beginner Level
1225,173,5,3,2785,Beginner Level
848,129,0,0,2067,Beginner Level
901,144,41,4,2729,Intermediate Level
670,175,74,110,4018,Pro level
1105,322,2,11,1964,Intermediate Level
1101,261,22,56,2742,Pro level
577,439,46,5,3683,Pro level
985,367,11,1,2185,Intermediate Level
1294,122,6,18,2547,Beginner Level
1099,70,11,34,2489,Beginner Level
1299,87,18,36,2951,Beginner Level
1099,303,6,32,3008,Beginner Level
1115,303,2,20,1995,Intermediate Level
1214,148,12,66,2765,Pro level
111,0,0,0,120,Beginner Level
900,112,0,0,2067,Beginner Level
1101,218,8,113,3802,Pro level
1110,304,19,7,2117,Intermediate Level
744,155,26,31,2516,Beginner Level
1053,276,63,48,2897,Pro level
829,145,6,55,2693,Pro level
730,270,15,6,3064,Intermediate Level
756,215,0,0,2150,Beginner Level
1183,182,72,3,2940,Intermediate Level
745,206,16,16,1922,Intermediate Level
1439,1,0,0,1349,Beginner Level
1388,52,0,0,2222,Beginner Level
622,206,0,0,1683,Beginner Level
709,238,5,39,1788,Intermediate Level
1172,268,0,0,2725,Intermediate Level
1338,102,0,0,1341,Beginner Level
818,205,12,28,1786,Intermediate Level
1440,0,0,0,1557,Beginner Level
1350,31,11,0,2207,Beginner Level
678,206,16,11,1944,Intermediate Level
769,159,12,113,4044,Pro level
1302,52,11,75,1897,Beginner Level
1249,191,0,0,1696,Beginner Level
673,133,0,0,1838,Beginner Level
1281,131,1,27,2408,Intermediate Level
745,328,0,0,1947,Beginner Level
711,362,0,0,2305,Intermediate Level
853,84,0,0,1963,Beginner Level
764,214,3,66,3783,Intermediate Level
692,241,29,44,2156,Pro level
758,206,6,19,2463,Intermediate Level
1439,1,0,0,1843,Beginner Level
981,304,0,0,1604,Beginner Level
692,141,16,117,4005,Pro level
1122,318,0,0,1909,Beginner Level
1129,242,0,0,1804,Beginner Level
733,238,16,1,2908,Intermediate Level
1189,229,3,19,2817,Pro level
738,221,67,19,1638,Pro level
458,432,0,0,1916,Intermediate Level
1413,17,0,10,2195,Beginner Level
852,142,96,14,1628,Pro level
1160,280,0,0,1788,Beginner Level
1140,300,0,0,1903,Beginner Level
1077,284,31,48,2832,Pro level
840,194,0,0,2095,Beginner Level
634,380,14,6,3101,Intermediate Level
770,137,1,23,1849,Intermediate Level
1062,283,41,12,2223,Intermediate Level
895,121,0,0,1954,Beginner Level
1182,224,23,11,1655,Beginner Level
1024,355,8,53,2937,Pro level
1154,212,8,66,3477,Pro level
978,424,22,16,2939,Pro level
1119,282,20,19,2463,Intermediate Level
1170,188,15,67,3052,Pro level
1146,283,11,0,1922,Beginner Level
1299,108,14,19,1813,Beginner Level
1303,12,0,0,2100,Beginner Level
1164,170,6,100,3103,Pro level
744,139,10,0,2188,Beginner Level
741,223,14,125,3554,Pro level
1364,76,0,0,1473,Beginner Level
1350,90,0,0,1965,Beginner Level
1318,75,35,12,2496,Beginner Level
775,264,31,50,2035,Pro level
544,390,8,0,2314,Intermediate Level
1087,305,1,47,2148,Intermediate Level
1053,85,18,17,2400,Beginner Level
767,277,13,19,2026,Intermediate Level
604,311,0,0,2200,Intermediate Level
591,305,22,14,2066,Intermediate Level
689,238,42,13,2039,Intermediate Level
1081,324,31,4,2131,Intermediate Level
1142,158,8,132,3410,Pro level
692,191,5,1,1880,Beginner Level
824,58,9,1,1632,Beginner Level
1157,227,53,3,3108,Intermediate Level
1131,214,13,82,3676,Pro level
1388,52,0,0,1426,Beginner Level
1047,317,23,53,2933,Pro level
1142,237,0,0,2225,Beginner Level
1238,202,0,0,2098,Beginner Level
1115,221,94,10,3324,Pro level
580,212,8,97,3795,Pro level
1122,311,6,1,1890,Intermediate Level
1112,250,14,64,2642,Pro level
733,308,8,0,2423,Beginner Level
1237,151,11,41,2177,Intermediate Level
1112,328,0,0,2896,Intermediate Level
756,249,28,69,2284,Pro level
1260,110,4,66,2947,Intermediate Level
961,382,42,55,3180,Pro level
964,320,13,28,2344,Intermediate Level
433,102,6,8,1976,Beginner Level
844,432,21,6,2486,Pro level
1149,233,16,42,1921,Pro level
587,349,10,26,2536,Pro level
1167,248,20,5,1830,Intermediate Level
1440,0,0,0,0,Beginner Level
1161,279,0,0,1922,Beginner Level
1106,313,13,8,2282,Intermediate Level
1055,282,95,8,3327,Intermediate Level
0,2,0,0,257,Beginner Level
1300,140,0,0,1402,Beginner Level
1245,90,15,90,2859,Pro level
1280,152,5,3,1654,Beginner Level
857,250,24,45,1959,Pro level
1362,33,16,29,1705,Beginner Level
1438,2,0,0,1351,Beginner Level
740,136,10,19,2908,Beginner Level
1196,244,0,0,2247,Beginner Level
680,169,14,116,4079,Pro level
1295,145,0,0,2499,Beginner Level
1199,172,20,49,2218,Pro level
729,190,23,60,3666,Pro level
1095,232,17,96,4015,Pro level
1221,185,18,16,1617,Beginner Level
1234,206,0,0,1669,Beginner Level
702,312,0,0,2225,Intermediate Level
1124,309,5,2,1882,Intermediate Level
1244,154,2,40,2044,Intermediate Level
730,246,35,33,1820,Intermediate Level
1090,350,0,0,2905,Intermediate Level
1185,255,0,0,2687,Beginner Level
1104,295,17,24,2498,Intermediate Level
773,221,10,36,1863,Pro level
1152,250,7,31,2489,Pro level
1440,0,0,0,0,Beginner Level
1041,337,12,50,2830,Pro level
772,171,13,71,3721,Intermediate Level
708,214,27,53,2179,Pro level
1306,123,6,5,1613,Beginner Level
1302,127,10,1,1610,Beginner Level
704,249,16,20,3015,Intermediate Level
1193,247,0,0,1821,Beginner Level
825,108,0,0,1623,Beginner Level
935,204,4,33,3147,Pro level
479,475,0,0,1926,Intermediate Level
1439,1,0,0,1348,Beginner Level
839,180,1,29,2291,Beginner Level
749,215,5,58,3306,Pro level
1122,282,9,27,2525,Pro level
1423,17,0,0,2111,Beginner Level
1236,204,0,0,1742,Beginner Level
125,197,0,0,1248,Beginner Level
709,176,19,1,1886,Beginner Level
492,352,0,0,1692,Beginner Level
1138,302,0,0,1992,Beginner Level
749,301,20,10,2896,Beginner Level
1175,236,16,13,2979,Intermediate Level
1119,277,8,36,2473,Intermediate Level
1112,308,12,8,1997,Beginner Level
1079,178,113,70,3727,Intermediate Level
1043,361,23,13,2732,Pro level
864,139,21,30,2395,Intermediate Level
1138,302,0,0,2796,Beginner Level
761,208,26,23,2048,Intermediate Level
1410,15,13,2,1993,Beginner Level
437,302,66,12,3394,Pro level
1137,195,6,102,3133,Pro level
582,104,0,0,1507,Beginner Level
1151,238,44,7,3012,Intermediate Level
1136,247,13,44,2553,Intermediate Level
1131,262,30,17,2121,Intermediate Level
1332,108,0,0,2383,Beginner Level
1089,223,4,124,4398,Pro level
499,178,72,194,4546,Pro level
1038,402,0,0,2044,Intermediate Level
1153,143,21,45,3004,Intermediate Level
1197,197,0,46,1966,Beginner Level
734,55,0,0,2220,Beginner Level
1028,366,0,46,2241,Beginner Level
737,139,26,66,2754,Intermediate Level
676,192,4,4,3061,Intermediate Level
1400,11,18,11,2053,Beginner Level
1172,225,12,31,3171,Intermediate Level
1155,203,0,0,2076,Beginner Level
966,0,0,0,1383,Beginner Level
764,229,0,0,1854,Beginner Level
724,194,0,0,1884,Beginner Level
13,9,0,4,52,Beginner Level
1045,395,0,0,2173,Intermediate Level
1341,72,0,0,2241,Beginner Level
669,127,10,71,3369,Pro level
1193,123,8,116,3186,Pro level
603,153,0,0,1792,Beginner Level
1054,301,31,11,3288,Pro level
816,402,71,9,3846,Pro level
1161,216,26,37,2529,Pro level
754,153,46,31,1495,Intermediate Level
1057,383,0,0,2066,Intermediate Level
695,147,27,32,2534,Intermediate Level
1287,127,7,19,1722,Beginner Level
479,461,0,0,2560,Intermediate Level
584,360,0,0,2187,Intermediate Level
566,125,0,0,2049,Beginner Level
1218,222,0,0,1788,Beginner Level
897,180,0,0,2070,Beginner Level
623,327,0,0,1667,Beginner Level
2,4,0,0,403,Beginner Level
1191,249,0,0,2069,Beginner Level
1301,139,0,0,1645,Beginner Level
717,260,29,2,3061,Intermediate Level
757,179,8,10,2812,Intermediate Level
831,166,5,74,3644,Intermediate Level
890,191,30,22,3013,Intermediate Level
584,239,8,14,2885,Intermediate Level
1036,312,7,85,3921,Pro level
1182,106,23,72,2800,Pro level
1440,0,0,0,2017,Beginner Level
621,139,0,0,2685,Beginner Level
1233,154,36,17,1670,Intermediate Level
1320,120,0,0,1651,Beginner Level
706,317,0,0,2432,Beginner Level
1112,253,20,55,2609,Pro level
781,270,16,25,2105,Intermediate Level
1195,245,0,0,1801,Beginner Level
1275,150,14,1,3092,Pro level
605,214,95,4,1584,Intermediate Level
839,194,1,32,2361,Intermediate Level
1119,321,0,0,2839,Intermediate Level
781,133,9,50,1570,Pro level
1173,260,7,0,1905,Beginner Level
873,88,6,3,1527,Beginner Level
1437,3,0,0,2011,Beginner Level
517,318,0,0,2250,Intermediate Level
1019,238,35,66,2666,Beginner Level
1214,202,7,17,1604,Intermediate Level
727,165,13,49,1999,Intermediate Level
468,512,0,0,2651,Pro level
986,32,0,0,2151,Beginner Level
1152,191,7,90,3114,Pro level
1309,105,22,4,2536,Beginner Level
1104,209,9,118,3403,Pro level
436,237,0,0,1747,Beginner Level
709,151,14,0,1659,Beginner Level
1127,292,7,14,1921,Beginner Level
511,383,0,0,1736,Intermediate Level
728,150,0,0,1373,Beginner Level
667,251,22,59,2272,Intermediate Level
585,344,11,0,2270,Intermediate Level
663,153,83,31,1625,Pro level
1234,96,15,8,2135,Intermediate Level
1296,134,8,2,2645,Beginner Level
669,251,23,36,1783,Pro level
802,142,4,63,3491,Beginner Level
574,203,8,44,1740,Intermediate Level
1440,0,0,0,2516,Beginner Level
773,113,16,87,3192,Intermediate Level
834,79,0,0,1962,Beginner Level
709,270,15,46,2169,Pro level
692,314,11,6,2266,Intermediate Level
1123,225,19,73,3679,Pro level
1109,331,0,0,1893,Intermediate Level
821,260,0,0,1576,Beginner Level
717,231,0,0,2194,Beginner Level
1255,83,6,96,2867,Pro level
1440,0,0,0,1980,Beginner Level
1264,176,0,0,1463,Beginner Level
841,137,0,0,1974,Beginner Level
1256,184,0,0,1742,Beginner Level
1250,166,22,2,2683,Beginner Level
546,233,0,0,1945,Beginner Level
1148,227,1,64,3455,Pro level
1420,20,0,0,1922,Beginner Level
916,101,0,0,2015,Beginner Level
1087,312,14,27,2098,Intermediate Level
1207,210,5,18,2698,Intermediate Level
218,184,0,0,1763,Beginner Level
1428,12,0,0,1721,Beginner Level
626,331,0,0,1649,Beginner Level
1134,214,91,1,3093,Pro level
1229,158,18,35,2883,Intermediate Level
726,132,33,70,2781,Intermediate Level
1320,115,5,0,1401,Beginner Level
1440,0,0,0,1347,Beginner Level
711,0,0,0,665,Beginner Level
1353,87,0,0,2338,Beginner Level
1065,339,30,6,2223,Intermediate Level
1174,266,0,0,1851,Beginner Level
757,251,15,4,3004,Intermediate Level
1177,156,12,95,3140,Pro level
671,124,69,67,2944,Intermediate Level
648,267,14,13,3061,Intermediate Level
1053,60,0,0,1214,Beginner Level
1304,79,16,41,2643,Beginner Level
1301,139,0,0,1393,Beginner Level
1131,217,19,73,3710,Pro level
691,124,40,41,1501,Intermediate Level
1440,0,0,0,1841,Beginner Level
772,271,0,0,2984,Intermediate Level
863,105,24,14,2507,Beginner Level
525,159,37,200,4552,Pro level
662,176,30,118,4022,Intermediate Level
992,448,0,0,2063,Intermediate Level
1236,204,0,0,1725,Beginner Level
782,189,28,48,1898,Pro level
720,199,0,0,1705,Beginner Level
916,196,42,38,3429,Pro level
1395,45,0,0,1410,Beginner Level
736,247,0,0,1452,Beginner Level
838,211,8,19,1775,Intermediate Level
817,195,20,1,2419,Beginner Level
763,184,10,72,3788,Intermediate Level
1182,248,9,1,1876,Beginner Level
1060,307,15,58,3545,Pro level
1440,0,0,0,0,Beginner Level
1440,0,0,0,1348,Beginner Level
1293,147,0,0,1632,Beginner Level
417,458,0,0,2576,Intermediate Level
1123,291,20,6,2296,Intermediate Level
1141,236,2,61,3427,Pro level
1099,278,58,5,3300,Pro level
1238,202,0,0,1492,Beginner Level
1220,123,8,89,2918,Pro level
639,194,37,104,3841,Intermediate Level
1430,10,0,0,1366,Beginner Level
801,177,42,47,2066,Pro level
502,518,15,7,2828,Pro level
1116,233,16,23,1973,Intermediate Level
1188,252,0,0,1842,Beginner Level
1209,203,28,0,2757,Beginner Level
589,339,9,1,2302,Intermediate Level
1020,171,63,186,2690,Pro level
659,240,33,30,2086,Intermediate Level
1170,212,54,4,2944,Intermediate Level
816,254,24,50,1990,Pro level
1440,0,0,0,1496,Beginner Level
1122,308,5,5,2085,Beginner Level
1119,226,13,82,3659,Pro level
1279,156,0,0,1902,Beginner Level
1058,192,0,0,2638,Beginner Level
843,373,0,0,2130,Intermediate Level
1204,236,0,0,2044,Beginner Level
731,188,12,33,1481,Intermediate Level
576,178,38,107,3934,Pro level
1052,281,1,106,3934,Intermediate Level
781,206,27,9,1946,Intermediate Level
1206,223,11,0,1780,Beginner Level
851,158,0,0,2799,Beginner Level
1311,117,2,10,2596,Beginner Level
693,256,41,61,2324,Pro level
739,156,0,0,2297,Beginner Level
721,201,0,0,2572,Beginner Level
728,236,16,16,1853,Intermediate Level
750,238,18,40,2093,Intermediate Level
1057,371,10,2,1970,Intermediate Level
1135,212,42,51,3493,Pro level
1393,20,16,11,1580,Beginner Level
669,287,26,8,2235,Intermediate Level
1098,281,40,21,2611,Intermediate Level
627,223,24,24,3152,Intermediate Level
621,209,42,20,2739,Pro level
579,241,15,12,2926,Intermediate Level
687,194,52,43,1650,Pro level
776,217,19,21,1797,Intermediate Level
1131,195,40,5,2859,Intermediate Level
1020,258,19,6,3013,Intermediate Level
822,195,20,71,3784,Intermediate Level
1440,0,0,0,2064,Beginner Level
626,275,34,62,2361,Pro level
556,335,24,3,3328,Pro level
1240,200,0,0,2051,Beginner Level
609,253,9,6,3073,Intermediate Level
853,272,12,7,3069,Intermediate Level
1272,160,8,0,1529,Beginner Level
1347,50,34,9,2319,Beginner Level
1219,196,18,7,1739,Beginner Level
1054,369,6,11,3328,Intermediate Level
1040,343,0,0,2275,Intermediate Level
594,258,41,47,1710,Pro level
1101,339,0,0,2030,Beginner Level
714,176,10,0,1377,Intermediate Level
647,226,0,0,1718,Beginner Level
1219,114,0,0,1933,Beginner Level
744,150,32,36,1545,Intermediate Level
804,190,8,15,1407,Beginner Level
621,163,45,207,4501,Pro level
705,206,48,1,2010,Intermediate Level
746,214,31,46,1859,Intermediate Level
1201,216,18,5,1931,Beginner Level
257,63,15,45,1665,Beginner Level
1131,256,51,2,3199,Intermediate Level
831,116,0,0,2044,Beginner Level
1182,258,0,0,2703,Beginner Level
508,249,7,1,1882,Beginner Level
743,214,38,61,3374,Beginner Level
749,153,0,0,1370,Beginner Level
1148,257,3,32,2312,Intermediate Level
1375,65,0,0,2505,Beginner Level
714,310,0,0,2780,Beginner Level
1407,0,0,33,2664,Beginner Level
944,256,8,1,2896,Intermediate Level
777,258,0,0,2898,Intermediate Level
695,196,38,6,2092,Intermediate Level
1018,288,0,0,1595,Beginner Level
1064,376,0,0,1985,Intermediate Level
1440,0,0,0,1629,Beginner Level
707,265,40,61,2335,Pro level
676,196,115,1,1630,Pro level
1323,117,0,0,1370,Beginner Level
1344,84,9,3,2280,Beginner Level
1172,237,10,21,1953,Beginner Level
1213,227,0,0,2613,Beginner Level
1168,272,0,0,2718,Beginner Level
767,172,7,3,2982,Beginner Level
1039,370,25,6,2065,Intermediate Level
795,232,45,8,2748,Beginner Level
1215,159,8,58,2794,Pro level
1165,223,41,11,3123,Intermediate Level
1083,333,2,22,2057,Intermediate Level
593,161,18,90,3763,Pro level
586,286,0,0,1593,Beginner Level
1096,304,6,34,2668,Pro level
1440,0,0,0,1776,Beginner Level
591,360,35,32,2629,Pro level
1246,167,27,0,2647,Beginner Level
623,295,9,26,2194,Intermediate Level
330,343,0,0,1364,Intermediate Level
682,148,7,1,2580,Beginner Level
896,199,39,12,2899,Intermediate Level
1265,160,15,0,2677,Beginner Level
1392,19,24,5,2067,Beginner Level
1440,0,0,0,3212,Pro level
1069,258,67,46,3513,Pro level
706,129,39,69,2752,Intermediate Level
413,402,0,0,2409,Intermediate Level
840,152,13,63,3586,Intermediate Level
797,145,13,87,2997,Pro level
659,195,41,35,2046,Intermediate Level
683,284,36,15,2086,Intermediate Level
653,277,11,15,2095,Intermediate Level
1191,220,18,11,1889,Beginner Level
724,227,9,23,1996,Intermediate Level
780,121,0,0,2660,Beginner Level
703,208,86,0,1574,Intermediate Level
775,263,0,0,3089,Beginner Level
1193,191,26,30,2132,Intermediate Level
1358,82,0,0,1481,Beginner Level
728,328,13,25,1985,Pro level
1226,162,43,9,2846,Intermediate Level
1057,346,13,24,2095,Intermediate Level
787,196,0,0,2113,Beginner Level
833,175,46,37,1821,Intermediate Level
586,279,28,3,2158,Intermediate Level
1353,87,0,0,1549,Beginner Level
644,183,42,15,1468,Intermediate Level
527,176,0,0,1725,Beginner Level
1093,317,28,2,3164,Intermediate Level
692,141,51,99,3580,Intermediate Level
837,217,0,0,1756,Beginner Level
631,141,9,25,2755,Beginner Level
725,233,2,30,2421,Intermediate Level
1104,235,8,93,3808,Pro level
1431,9,0,0,1720,Beginner Level
945,220,25,77,3544,Pro level
759,241,0,0,2018,Beginner Level
713,49,0,0,1276,Beginner Level
697,279,38,7,2034,Intermediate Level
1011,269,43,11,2198,Intermediate Level
699,174,21,123,4163,Pro level
1201,239,0,0,2682,Beginner Level
728,140,16,86,3405,Intermediate Level
1440,0,0,0,0,Beginner Level
1032,300,6,102,3891,Intermediate Level
637,282,31,35,2194,Pro level
1157,258,3,22,2860,Pro level
810,161,48,54,2862,Intermediate Level
1180,249,3,8,2771,Intermediate Level
1200,240,0,0,2671,Beginner Level
732,227,0,0,1861,Beginner Level
1070,363,6,1,1906,Beginner Level
1305,135,0,0,1848,Beginner Level
720,284,24,1,2133,Intermediate Level
1220,220,0,0,1827,Beginner Level
762,153,59,58,2846,Intermediate Level
1238,202,0,0,1722,Beginner Level
1237,196,7,0,2650,Beginner Level
1169,271,0,0,2766,Intermediate Level
957,328,34,27,2530,Pro level
680,167,10,19,3110,Intermediate Level
1078,311,3,48,2770,Pro level
654,267,36,21,2072,Pro level
1258,182,0,0,1474,Beginner Level
741,280,3,50,2173,Pro level
621,288,8,38,2182,Pro level
1188,153,9,90,3062,Pro level
878,234,9,19,2969,Intermediate Level
594,233,0,0,1506,Beginner Level
1167,95,0,0,2351,Beginner Level
1093,311,23,13,1971,Intermediate Level
812,247,29,26,2116,Pro level
1055,385,0,0,1972,Beginner Level
734,185,6,2,2120,Beginner Level
1289,151,0,0,1446,Beginner Level
1208,130,9,93,2950,Pro level
1000,347,33,60,3096,Pro level
1247,162,6,25,2248,Beginner Level
1166,165,22,87,3023,Pro level
682,207,16,1,2859,Intermediate Level
692,267,19,12,3165,Pro level
1241,199,0,0,1470,Beginner Level
732,262,21,41,1949,Pro level
1095,345,0,0,1906,Intermediate Level
862,86,0,0,1466,Beginner Level
858,256,18,8,2954,Intermediate Level
1116,324,0,0,2843,Intermediate Level
1100,262,45,33,3425,Pro level
908,146,24,3,2696,Beginner Level
724,252,92,0,1638,Pro level
1254,155,19,12,2799,Intermediate Level
1213,227,0,0,1562,Intermediate Level
722,215,0,0,1740,Beginner Level
776,144,11,15,2551,Beginner Level
837,299,0,0,3066,Intermediate Level
667,200,4,27,2336,Beginner Level
1070,343,7,20,2014,Beginner Level
761,152,36,57,2754,Intermediate Level
797,290,0,0,2363,Beginner Level
1294,146,0,0,1432,Intermediate Level
521,288,0,0,1831,Beginner Level
1084,271,28,57,2797,Pro level
685,258,15,30,2730,Pro level
1065,370,5,0,1910,Beginner Level
1245,195,0,0,1724,Beginner Level
754,289,6,24,1896,Pro level
607,231,21,43,2105,Pro level
1335,105,0,0,2189,Beginner Level
651,224,0,0,1698,Beginner Level
653,197,0,0,1431,Beginner Level
680,300,47,6,2324,Intermediate Level
1061,297,47,35,2709,Pro level
743,171,50,67,2960,Pro level
1105,335,0,0,1908,Intermediate Level
1206,234,0,0,1779,Beginner Level
1052,331,29,28,2782,Pro level
1112,306,9,13,2124,Intermediate Level
1345,95,0,0,1988,Beginner Level
680,254,7,36,2012,Intermediate Level
1337,94,1,8,2497,Beginner Level
737,154,19,120,4092,Pro level
1077,363,0,0,2952,Intermediate Level
539,164,20,38,1728,Intermediate Level
1292,148,0,0,1411,Beginner Level
1143,231,8,58,3060,Pro level
1226,166,12,36,2786,Pro level
508,260,56,120,4022,Pro level
1402,38,0,0,2140,Beginner Level
739,165,36,97,3544,Intermediate Level
1048,370,8,14,2262,Intermediate Level
1293,147,0,0,1657,Beginner Level
506,84,0,0,1463,Beginner Level
443,272,0,0,1776,Beginner Level
785,141,0,0,1356,Beginner Level
1252,163,23,2,2654,Beginner Level
834,154,35,84,2924,Pro level
585,75,7,0,1541,Beginner Level
720,174,10,117,4157,Pro level
830,128,0,0,1125,Beginner Level
543,401,0,0,1869,Intermediate Level
1021,419,0,0,2667,Intermediate Level
1105,335,0,0,2003,Beginner Level
866,108,4,26,2123,Beginner Level
1020,420,0,0,2015,Intermediate Level
1187,224,11,18,2832,Pro level
777,131,19,44,1450,Intermediate Level
711,139,10,11,2884,Beginner Level
763,169,8,82,3787,Intermediate Level
732,201,11,51,2033,Intermediate Level
1028,255,53,104,3158,Pro level
490,374,14,2,2345,Intermediate Level
945,219,35,10,2998,Intermediate Level
1363,3,0,0,1464,Beginner Level
704,164,0,0,1401,Beginner Level
671,306,18,0,2220,Intermediate Level
759,181,32,38,3088,Beginner Level
505,210,8,3,1762,Beginner Level
1257,166,10,7,2668,Beginner Level
1261,166,6,7,1497,Beginner Level
745,153,6,59,2772,Pro level
1081,359,0,0,1907,Beginner Level
1233,146,31,30,2798,Intermediate Level
1349,91,0,0,1328,Beginner Level
1159,151,122,8,1667,Pro level
684,241,48,11,3074,Pro level
525,397,0,0,2361,Intermediate Level
574,311,18,3,2232,Intermediate Level
1121,319,0,0,1972,Beginner Level
1344,96,0,0,1334,Beginner Level
1182,258,0,0,2783,Intermediate Level
1065,261,50,64,2889,Pro level
1189,251,0,0,2712,Intermediate Level
1241,199,0,0,2560,Beginner Level
1322,94,8,16,2505,Beginner Level
479,487,0,0,2636,Intermediate Level
598,148,0,0,1570,Beginner Level
1121,319,0,0,1826,Beginner Level
809,229,0,0,2211,Beginner Level
1017,239,8,27,3274,Pro level
660,129,95,30,1655,Pro level
695,158,5,89,3043,Pro level
1377,9,18,36,2225,Beginner Level
673,224,23,14,2929,Intermediate Level
624,289,18,6,2175,Intermediate Level
584,308,17,42,2995,Pro level
1298,96,11,35,1935,Intermediate Level
728,263,36,4,3115,Pro level
1171,217,8,44,2470,Pro level
943,46,0,0,1397,Beginner Level
916,179,0,0,2070,Beginner Level
1239,201,0,0,2149,Beginner Level
1105,272,27,36,2649,Pro level
1268,115,51,6,1880,Intermediate Level
1117,308,13,2,2062,Intermediate Level
456,412,0,0,2469,Intermediate Level
1292,88,9,0,2383,Beginner Level
1198,182,36,24,2616,Beginner Level
712,242,0,0,1397,Beginner Level
1306,134,0,0,2443,Beginner Level
1123,193,5,119,3411,Pro level
1440,0,0,0,2115,Intermediate Level
1189,184,7,60,2809,Pro level
1077,330,5,28,2021,Intermediate Level
976,58,0,0,2127,Beginner Level
833,279,23,31,1970,Pro level
1098,216,18,108,3566,Pro level
1191,249,0,0,1852,Beginner Level
